macro,name,file,line
subsys_initcall,genhd_device_init,/data25/lidg/lite/block/genhd.c,396
module_init,virtio_pci_driver_init,/data25/lidg/lite/drivers/virtio/virtio_pci_common.c,108
core_initcall,virtio_init,/data25/lidg/lite/drivers/virtio/virtio.c,177
postcore_initcall,pcibus_class_init,/data25/lidg/lite/drivers/pci/probe.c,15
subsys_initcall,pci_init,/data25/lidg/lite/drivers/pci/pci.c,835
postcore_initcall,tty_class_init,/data25/lidg/lite/drivers/tty/tty_io.c,185
device_initcall,tty_init,/data25/lidg/lite/drivers/tty/tty_io.c,208
module_init,serial8250_init,/data25/lidg/lite/drivers/tty/serial/8250/8250_core.c,65
subsys_initcall,init_scsi,/data25/lidg/lite/drivers/scsi/scsi.c,634
module_init,virtio_scsi_init,/data25/lidg/lite/drivers/scsi/virtio_scsi.c,267
module_init,init_sd,/data25/lidg/lite/drivers/scsi/sd.c,19
module_init,nvme_init,/data25/lidg/lite/drivers/nvme/host/pci.c,1007
module_init,atkbd_init,/data25/lidg/lite/drivers/input/keyboard/atkbd.c,57
module_init,i8042_init,/data25/lidg/lite/drivers/input/serio/i8042.c,115
subsys_initcall,serio_init,/data25/lidg/lite/drivers/input/serio/serio.c,170
module_init,ramdisk_init,/data25/lidg/lite/drivers/block/ramdisk.c,143
fs_initcall,proc_root_init,/data25/lidg/lite/fs/procfs/procfs.c,1547
fs_initcall,init_minix_fs,/data25/lidg/lite/fs/minixfs/minixfs.c,865
core_initcall,fn,/data25/lidg/lite/include/linux/init.h,14
subsys_initcall,fn,/data25/lidg/lite/include/linux/init.h,15
fs_initcall,fn,/data25/lidg/lite/include/linux/init.h,16
device_initcall,fn,/data25/lidg/lite/include/linux/init.h,17
late_initcall,fn,/data25/lidg/lite/include/linux/init.h,18
module_init,fn,/data25/lidg/lite/include/linux/init.h,20
device_initcall,fn,/data25/lidg/lite/include/linux/init.h,20
core_initcall,ksysfs_init,/data25/lidg/lite/kernel/ksysfs.c,150
